"pathway_ID" "n_genes" "all_genes" "pvalue" "padj" "pathway_name"
"path:hsa04971" 1 75 0.679748642761697 1 "Gastric acid secretion"
"path:hsa05212" 1 75 0.679748642761697 1 "Pancreatic cancer"
"path:hsa05200" 7 526 0.683003361768343 1 "Pathways in cancer"
"path:hsa04260" 1 78 0.69408222447658 1 "Cardiac muscle contraction"
"path:hsa01521" 1 79 0.698717342287541 1 "EGFR tyrosine kinase inhibitor resistance"
"path:hsa04022" 2 163 0.706648936098795 1 "cGMP-PKG signaling pathway"
"path:hsa04512" 1 82 0.712209188913066 1 "ECM-receptor interaction"
"path:hsa05204" 1 82 0.712209188913066 1 "Chemical carcinogenesis"
"path:hsa05410" 1 83 0.716572037865627 1 "Hypertrophic cardiomyopathy (HCM)"
"path:hsa04350" 1 84 0.720869333835702 1 "TGF-beta signaling pathway"
"path:hsa04012" 1 85 0.725102052953767 1 "ErbB signaling pathway"
"path:hsa05210" 1 86 0.729271156946407 1 "Colorectal cancer"
"path:hsa04727" 1 88 0.73742229570287 1 "GABAergic synapse"
"path:hsa04360" 2 175 0.743136959621278 1 "Axon guidance"
"path:hsa04970" 1 90 0.745330163767019 1 "Salivary secretion"
"path:hsa04974" 1 90 0.745330163767019 1 "Protein digestion and absorption"
"path:hsa05414" 1 90 0.745330163767019 1 "Dilated cardiomyopathy (DCM)"
"path:hsa05032" 1 91 0.749195128467848 1 "Morphine addiction"
"path:hsa04912" 1 93 0.756751517503421 1 "GnRH signaling pathway"
"path:hsa04020" 2 182 0.762596877491346 1 "Calcium signaling pathway"
"path:hsa01522" 1 96 0.767665058659507 1 "Endocrine resistance"
"path:hsa04713" 1 96 0.767665058659507 1 "Circadian entrainment"
"path:hsa04972" 1 96 0.767665058659507 1 "Pancreatic secretion"
"path:hsa00564" 1 97 0.771193955551789 1 "Glycerophospholipid metabolism"
"path:hsa04750" 1 97 0.771193955551789 1 "Inflammatory mediator regulation of TRP channels"
"path:hsa05215" 1 97 0.771193955551789 1 "Prostate cancer"
"path:hsa04060" 3 270 0.77642966229693 1 "Cytokine-cytokine receptor interaction"
"path:hsa04914" 1 99 0.778093169256681 1 "Progesterone-mediated oocyte maturation"
"path:hsa04933" 1 99 0.778093169256681 1 "AGE-RAGE signaling pathway in diabetic complications"
"path:hsa05231" 1 99 0.778093169256681 1 "Choline metabolism in cancer"
"path:hsa00240" 1 102 0.788057253474422 1 "Pyrimidine metabolism"
"path:hsa05142" 1 102 0.788057253474422 1 "Chagas disease (American trypanosomiasis)"
"path:hsa04922" 1 103 0.791279061864499 1 "Glucagon signaling pathway"
"path:hsa04931" 1 107 0.803688078402913 1 "Insulin resistance"
"path:hsa04015" 2 206 0.819979894834632 1 "Rap1 signaling pathway"
"path:hsa04726" 1 113 0.820943505913468 1 "Serotonergic synapse"
"path:hsa04724" 1 114 0.823669506577794 1 "Glutamatergic synapse"
"path:hsa04810" 2 208 0.824158302229057 1 "Regulation of actin cytoskeleton"
"path:hsa04071" 1 118 0.834168284158705 1 "Sphingolipid signaling pathway"
"path:hsa04270" 1 121 0.841633600586591 1 "Vascular smooth muscle contraction"
"path:hsa04110" 1 124 0.848765739782741 1 "Cell cycle"
"path:hsa04926" 1 130 0.862088802159046 1 "Relaxin signaling pathway"
"path:hsa04910" 1 137 0.876168346889286 1 "Insulin signaling pathway"
"path:hsa04550" 1 139 0.879922652192766 1 "Signaling pathways regulating pluripotency of stem cells"
"path:hsa05012" 1 142 0.885343612236655 1 "Parkinson's disease"
"path:hsa04723" 1 148 0.895468417652554 1 "Retrograde endocannabinoid signaling"
"path:hsa04921" 1 153 0.903225036166175 1 "Oxytocin signaling pathway"
"path:hsa04390" 1 154 0.904706489894703 1 "Hippo signaling pathway"
"path:hsa04621" 1 168 0.923233857645361 1 "NOD-like receptor signaling pathway"
"path:hsa04530" 1 170 0.925571133873978 1 "Tight junction"
"path:hsa05010" 1 171 0.926713185870106 1 "Alzheimer's disease"
"path:hsa00230" 1 175 0.931110307999694 1 "Purine metabolism"
"path:hsa04062" 1 184 0.940070822119524 1 "Chemokine signaling pathway"
"path:hsa04024" 1 198 0.951766233368135 1 "cAMP signaling pathway"
"path:hsa04714" 1 229 0.970220741083977 1 "Thermogenesis"
"path:hsa04080" 1 278 0.986164312729124 1 "Neuroactive ligand-receptor interaction"
"path:hsa01100" 8 1278 0.999429441087192 1 "Metabolic pathways"
"path:hsa00010" 0 68 1 1 "Glycolysis / Gluconeogenesis"
"path:hsa00020" 0 30 1 1 "Citrate cycle (TCA cycle)"
"path:hsa00030" 0 30 1 1 "Pentose phosphate pathway"
"path:hsa00040" 0 34 1 1 "Pentose and glucuronate interconversions"
"path:hsa00051" 0 33 1 1 "Fructose and mannose metabolism"
"path:hsa00052" 0 31 1 1 "Galactose metabolism"
"path:hsa00053" 0 27 1 1 "Ascorbate and aldarate metabolism"
"path:hsa00061" 0 13 1 1 "Fatty acid biosynthesis"
"path:hsa00071" 0 44 1 1 "Fatty acid degradation"
"path:hsa00072" 0 10 1 1 "Synthesis and degradation of ketone bodies"
"path:hsa00100" 0 19 1 1 "Steroid biosynthesis"
"path:hsa00120" 0 17 1 1 "Primary bile acid biosynthesis"
"path:hsa00130" 0 11 1 1 "Ubiquinone and other terpenoid-quinone biosynthesis"
"path:hsa00140" 0 59 1 1 "Steroid hormone biosynthesis"
"path:hsa00190" 0 133 1 1 "Oxidative phosphorylation"
"path:hsa00220" 0 21 1 1 "Arginine biosynthesis"
"path:hsa00232" 0 5 1 1 "Caffeine metabolism"
"path:hsa00250" 0 35 1 1 "Alanine, aspartate and glutamate metabolism"
"path:hsa00260" 0 40 1 1 "Glycine, serine and threonine metabolism"
"path:hsa00270" 0 45 1 1 "Cysteine and methionine metabolism"
"path:hsa00280" 0 48 1 1 "Valine, leucine and isoleucine degradation"
"path:hsa00290" 0 4 1 1 "Valine, leucine and isoleucine biosynthesis"
"path:hsa00330" 0 50 1 1 "Arginine and proline metabolism"
"path:hsa00340" 0 23 1 1 "Histidine metabolism"
"path:hsa00360" 0 17 1 1 "Phenylalanine metabolism"
"path:hsa00380" 0 40 1 1 "Tryptophan metabolism"
"path:hsa00400" 0 5 1 1 "Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:hsa00410" 0 31 1 1 "beta-Alanine metabolism"
"path:hsa00430" 0 11 1 1 "Taurine and hypotaurine metabolism"
"path:hsa00440" 0 6 1 1 "Phosphonate and phosphinate metabolism"
"path:hsa00450" 0 17 1 1 "Selenocompound metabolism"
"path:hsa00471" 0 5 1 1 "D-Glutamine and D-glutamate metabolism"
"path:hsa00472" 0 1 1 1 "D-Arginine and D-ornithine metabolism"
"path:hsa00480" 0 56 1 1 "Glutathione metabolism"
"path:hsa00500" 0 36 1 1 "Starch and sucrose metabolism"
"path:hsa00510" 0 49 1 1 "N-Glycan biosynthesis"
"path:hsa00512" 0 31 1 1 "Mucin type O-glycan biosynthesis"
"path:hsa00514" 0 22 1 1 "Other types of O-glycan biosynthesis"
"path:hsa00515" 0 23 1 1 "Mannose type O-glycan biosynthesis"
"path:hsa00520" 0 48 1 1 "Amino sugar and nucleotide sugar metabolism"
"path:hsa00524" 0 5 1 1 "Neomycin, kanamycin and gentamicin biosynthesis"
"path:hsa00532" 0 20 1 1 "Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"path:hsa00533" 0 14 1 1 "Glycosaminoglycan biosynthesis - keratan sulfate"
"path:hsa00534" 0 24 1 1 "Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"path:hsa00563" 0 25 1 1 "Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"path:hsa00565" 0 47 1 1 "Ether lipid metabolism"
"path:hsa00590" 0 62 1 1 "Arachidonic acid metabolism"
"path:hsa00591" 0 29 1 1 "Linoleic acid metabolism"
"path:hsa00592" 0 25 1 1 "alpha-Linolenic acid metabolism"
"path:hsa00604" 0 15 1 1 "Glycosphingolipid biosynthesis - ganglio series"
"path:hsa00620" 0 39 1 1 "Pyruvate metabolism"
"path:hsa00630" 0 28 1 1 "Glyoxylate and dicarboxylate metabolism"
"path:hsa00640" 0 32 1 1 "Propanoate metabolism"
"path:hsa00650" 0 28 1 1 "Butanoate metabolism"
"path:hsa00670" 0 20 1 1 "One carbon pool by folate"
"path:hsa00730" 0 16 1 1 "Thiamine metabolism"
"path:hsa00740" 0 8 1 1 "Riboflavin metabolism"
"path:hsa00750" 0 6 1 1 "Vitamin B6 metabolism"
"path:hsa00760" 0 30 1 1 "Nicotinate and nicotinamide metabolism"
"path:hsa00770" 0 19 1 1 "Pantothenate and CoA biosynthesis"
"path:hsa00780" 0 3 1 1 "Biotin metabolism"
"path:hsa00785" 0 3 1 1 "Lipoic acid metabolism"
"path:hsa00830" 0 66 1 1 "Retinol metabolism"
"path:hsa00860" 0 42 1 1 "Porphyrin and chlorophyll metabolism"
"path:hsa00900" 0 22 1 1 "Terpenoid backbone biosynthesis"
"path:hsa00910" 0 17 1 1 "Nitrogen metabolism"
"path:hsa00980" 0 74 1 1 "Metabolism of xenobiotics by cytochrome P450"
"path:hsa00982" 0 70 1 1 "Drug metabolism - cytochrome P450"
"path:hsa00983" 0 79 1 1 "Drug metabolism - other enzymes"
"path:hsa01040" 0 23 1 1 "Biosynthesis of unsaturated fatty acids"
"path:hsa01200" 0 116 1 1 "Carbon metabolism"
"path:hsa01210" 0 18 1 1 "2-Oxocarboxylic acid metabolism"
"path:hsa01230" 0 74 1 1 "Biosynthesis of amino acids"
"path:hsa01523" 0 31 1 1 "Antifolate resistance"
"path:hsa03008" 0 106 1 1 "Ribosome biogenesis in eukaryotes"
"path:hsa03010" 0 154 1 1 "Ribosome"
"path:hsa03013" 0 171 1 1 "RNA transport"
"path:hsa03015" 0 91 1 1 "mRNA surveillance pathway"
"path:hsa03022" 0 45 1 1 "Basal transcription factors"
"path:hsa03030" 0 36 1 1 "DNA replication"
"path:hsa03060" 0 23 1 1 "Protein export"
"path:hsa03420" 0 47 1 1 "Nucleotide excision repair"
"path:hsa03430" 0 23 1 1 "Mismatch repair"
"path:hsa03440" 0 41 1 1 "Homologous recombination"
"path:hsa03450" 0 13 1 1 "Non-homologous end-joining"
"path:hsa03460" 0 55 1 1 "Fanconi anemia pathway"
"path:hsa04066" 0 100 1 1 "HIF-1 signaling pathway"
"path:hsa04120" 0 137 1 1 "Ubiquitin mediated proteolysis"
"path:hsa04122" 0 8 1 1 "Sulfur relay system"
"path:hsa04130" 0 34 1 1 "SNARE interactions in vesicular transport"
"path:hsa04136" 0 32 1 1 "Autophagy - other"
"path:hsa04137" 0 65 1 1 "Mitophagy - animal"
"path:hsa04146" 0 83 1 1 "Peroxisome"
"path:hsa04150" 0 151 1 1 "mTOR signaling pathway"
"path:hsa04152" 0 121 1 1 "AMPK signaling pathway"
"path:hsa04216" 0 40 1 1 "Ferroptosis"
"path:hsa04310" 0 146 1 1 "Wnt signaling pathway"
"path:hsa04340" 0 47 1 1 "Hedgehog signaling pathway"
"path:hsa04370" 0 59 1 1 "VEGF signaling pathway"
"path:hsa04392" 0 29 1 1 "Hippo signaling pathway - multiple species"
"path:hsa04614" 0 23 1 1 "Renin-angiotensin system"
"path:hsa04620" 0 104 1 1 "Toll-like receptor signaling pathway"
"path:hsa04623" 0 64 1 1 "Cytosolic DNA-sensing pathway"
"path:hsa04657" 0 93 1 1 "IL-17 signaling pathway"
"path:hsa04662" 0 71 1 1 "B cell receptor signaling pathway"
"path:hsa04666" 0 91 1 1 "Fc gamma R-mediated phagocytosis"
"path:hsa04710" 0 31 1 1 "Circadian rhythm"
"path:hsa04721" 0 63 1 1 "Synaptic vesicle cycle"
"path:hsa04744" 0 28 1 1 "Phototransduction"
"path:hsa04913" 0 50 1 1 "Ovarian steroidogenesis"
"path:hsa04916" 0 101 1 1 "Melanogenesis"
"path:hsa04923" 0 54 1 1 "Regulation of lipolysis in adipocytes"
"path:hsa04930" 0 46 1 1 "Type II diabetes mellitus"
"path:hsa04932" 0 149 1 1 "Non-alcoholic fatty liver disease (NAFLD)"
"path:hsa04950" 0 26 1 1 "Maturity onset diabetes of the young"
"path:hsa04960" 0 37 1 1 "Aldosterone-regulated sodium reabsorption"
"path:hsa04961" 0 47 1 1 "Endocrine and other factor-regulated calcium reabsorption"
"path:hsa04964" 0 23 1 1 "Proximal tubule bicarbonate reclamation"
"path:hsa04966" 0 27 1 1 "Collecting duct acid secretion"
"path:hsa04973" 0 44 1 1 "Carbohydrate digestion and absorption"
"path:hsa04976" 0 71 1 1 "Bile secretion"
"path:hsa04977" 0 24 1 1 "Vitamin digestion and absorption"
"path:hsa04978" 0 51 1 1 "Mineral absorption"
"path:hsa04979" 0 50 1 1 "Cholesterol metabolism"
"path:hsa05016" 0 193 1 1 "Huntington's disease"
"path:hsa05033" 0 40 1 1 "Nicotine addiction"
"path:hsa05110" 0 50 1 1 "Vibrio cholerae infection"
"path:hsa05131" 0 65 1 1 "Shigellosis"
"path:hsa05132" 0 86 1 1 "Salmonella infection"
"path:hsa05160" 0 131 1 1 "Hepatitis C"
"path:hsa05219" 0 41 1 1 "Bladder cancer"
"path:hsa05230" 0 65 1 1 "Central carbon metabolism in cancer"
"path:hsa05412" 0 72 1 1 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"path:hsa05418" 0 139 1 1 "Fluid shear stress and atherosclerosis"
