external_gene_name	entrezgene	ensembl_gene_id
PSORS1C3	100130889	not_available
OR2H1	26716	not_available
LOC100130756	100130756	not_available
ABT1	29777	not_available
LOC100287272	100287272	not_available
HLA-N	267014	not_available
LY6G5B	58496	not_available
TRNAR7	100189034	not_available
HCP5	10866	not_available
HIST1H2AK	8330	not_available
POU5F1	5460	not_available
FLJ45422	441140	not_available
PGBD1	84547	not_available
HLA-F	3134	not_available
LOC100507436	100507436	not_available
EHMT2	10919	not_available
OR11A1	26531	not_available
HLA-Z	267017	not_available
HCP5P15	373160	not_available
LOC100420941	100420941	not_available
RANP1	221547	not_available
OR2B4P	442190	not_available
TAP1	6890	not_available
TRIM26P	404024	not_available
AGPAT1	10554	not_available
EGFL8	80864	not_available
LTA	4049	not_available
HCG9	10255	not_available
TRNAA28	100189299	not_available
MAS1LP	646366	not_available
BAT5	7920	not_available
OR12D3	81797	not_available
PPIAP9	5491	not_available
LOC100507584	100507584	not_available
TRNAA13	100189093	not_available
TRNAA6	100189042	not_available
TRNAL20	100189202	not_available
TRNAL22	100189237	not_available
TRNAM12	100189216	not_available
TRNAQ11	100189121	not_available
TRNAE6	100189024	not_available
TRNAF7	100189254	not_available
HCG2P6	353006	not_available
C6orf47	57827	not_available
LOC100128240	100128240	not_available
VN1R13P	387322	not_available
RP3-377H14.5	NA	not_available
MICE	4280	not_available
TRNAA7	100189046	not_available
MCCD1	401250	not_available
RPL15P4	100129921	not_available
BAT1	7919	not_available
HCG27	253018	not_available
MUC21	394263	not_available
TRNAF15P	100189472	not_available
OR2H5P	26713	not_available
MOG	4340	not_available
OR2U2P	26694	not_available
ZSCAN16	80345	not_available
HIST1H2AL	8332	not_available
HIST1H3I	8354	not_available
HIST1H1B	3009	not_available
HIST1H4L	8368	not_available
HIST1H2BH	8345	not_available
BACH2	60468	not_available
ZNRD1	30834	not_available
C6orf15	29113	not_available
OR2H4P	442189	not_available
HCG9P5	353019	not_available
OR2B7P	81695	not_available
ATAT1	79969	not_available
TRNAF5	100189170	not_available
MICF	352957	not_available
ZNF389	651302	not_available
SFTA2	389376	not_available
TRNAQ16	100189189	not_available
HLA-B	3106	not_available
LOC100507173	100507173	not_available
ZSCAN12L1	221584	not_available
BTN3A1	11119	not_available
3.8-1.4	353009	not_available
TRNAL16	100189164	not_available
HCG18	414777	not_available
OR2W2P	81694	not_available
MICD	4279	not_available
LRRC16A	55604	not_available
ABCF1	23	not_available
LOC100129195	100129195	not_available
HLA-DPA3	267013	not_available
HCP5P14	353018	not_available
3.8-1.5	353010	not_available
TRNAR26	100189396	not_available
TRNAM6	100189094	not_available
TRNAQ15	100189185	not_available
TRNAQ25	100189321	not_available
TRNAS27	100189430	not_available
OR2B8P	65944	not_available
LOC222701	222701	not_available
VN1R12P	387321	not_available
ZNF187	7741	not_available
HLA-DPA1	3113	not_available
PRRT1	80863	not_available
HIST1H2BPS2	10340	not_available
MDC1	9656	not_available
LOC100289545	100289545	not_available
C2	717	not_available
LOC646520	646520	not_available
NFKBIL1	4795	not_available
LY6G5C	80741	not_available
BTN1A1	696	not_available
DAXX	1616	not_available
HCG4P7	353004	not_available
HIST1H1D	3007	not_available
HIST1H2BO	8348	not_available
HIST1H3F	8968	not_available
HIST1H3J	8356	not_available
IFITM4P	340198	not_available
LOC100419609	100419609	not_available
LOC100420530	100420530	not_available
LOC100422429	100422429	not_available
LOC442172	442172	not_available
LY6G6E	79136	not_available
NEU1	4758	not_available
NOP56P1	646192	not_available
OR10C1	442194	not_available
OR14J1	442191	not_available
OR1F12	442179	not_available
OR2H2	7932	not_available
OR2J4P	442188	not_available
OR2W4P	81407	not_available
PPP1R2P1	100507444	not_available
PPT2	9374	not_available
PSORS1C2	170680	not_available
STK19	8859	not_available
TRNAA44P	100189468	not_available
TRNAK22	100189234	not_available
TRNAK29	100189332	not_available
TRNAL17	100189169	not_available
TRNAL25	100189593	not_available
TRNAR24	100189365	not_available
TRNAT18	100189374	not_available
TRNAV18	100189178	not_available
ZBTB12	221527	not_available
ZBTB22	9278	not_available
LOC100506189	100506189	not_available
IGF2	3481	not_available
INS-IGF2	723961	not_available
TH	7054	not_available
C12orf51	283450	not_available
ATXN2	6311	not_available
RAB5B	5869	not_available
SUOX	6821	not_available
IKZF4	64375	not_available
SMARCC2	6601	not_available
NAA25	80018	not_available
CUX2	23316	not_available
ESYT1	23344	not_available
SH2B3	10019	not_available
ERBB3	2065	not_available
ZC3H10	84872	not_available
CLEC16A	23274	not_available
PTPN2	5771	not_available
UBASH3A	53347	not_available
ZMAT5	55954	not_available
ASCC2	84164	not_available
MTMR3	8897	not_available
